id|name|tagcount
799|爱德华·豪奇|1
800|横山秀夫|10
801|经典文学|1
802|爱伦·坡小说精选|1
803|冰冷密室|1
804|本特利|2
805|橫山秀夫|6
806|翻翻|3
807|JD_Carr|4
808|亨利·梅利维尔爵士|12
809|修道院|2
810|广义密室|4
811|雪|2
812|John_Dickson_Carr|3
813|不可能消失|1
814|法国大革命|1
815|John-Dickson-Carr|1
816|JDC|4
817|亨利·贝克林|4
818|古典|1
819|古典推理|3
820|John·Dickson·Carr|3
821|鬼屋|1
822|广播剧|1
823|侦探、推理|1
824|Biography|2
825|S.T.Joshi|1
826|人物|1
827|克雷顿·劳森|1
828|本格解谜|2
829|黑克·塔伯特|3
830|地狱之缘|1
831|英语读物|2
832|The_Lost_Classics_Series|2
833|Locked_room_mystery|1
834|佐藤友哉|2
835|鏡公彥理想的殺人方式。|1
836|鏡家事件系列|1
837|公案小说|4
838|推理破案|3
839|荷兰|1
840|夏と花火と私の死体|1
841|日本小說|3
842|JOKER舊約偵探神話凉|1
843|JDC系列|1
844|清涼院流水|3
845|GOTH|2
846|COSMIC世紀末偵探神話|2
847|奥田英朗|3
848|奧田英朗|3
849|芥川奖|2
850|动漫系|1
851|psy|1
852|基甸．費爾|4
853|達芙妮.杜穆裏埃|1
854|达芙妮.杜穆里埃|1
855|书香|1
856|卷卷书店：推理/科幻/儿童/其他类书籍列表|1
857|狐狸不祥|1
858|天才雷普利|1
859|西方推理小说|1
860|T|1
861|雷蒙·錢德勒|2
862|米涅．渥特絲|1
863|冰屋|1
864|**台·S時報文化*|1
865|橫溝正史|1
866|**台·Y遠流*|12
867|白羅系列|15
868|歐美推理|25
869|千草檢察官系列|3
870|塞耶斯|2
871|Dorothy_Sayers|4
872|溫西爵爺探案系列|1
873|神学|1
874|锅匠，裁缝，军人，间谍|1
875|死神の精度|1
876|死神的精度|1
877|罗斯玛丽的婴儿|1
878|连城三纪彦|5
879|【日本小說】|1
880|石持浅海|1
881|希金斯|4
882|诅咒|1
883|畅销|4
884|Comic|1
885|青年漫画|1
886|非系列|1
887|迷魂|3
888|西尾维新|2
889|西尾維新|2
890|戏言系列|1
891|戏言|2
892|永遠的仔|2
893|超想要!!!!!!!!!|3
894|坂口安吾|5
895|連續殺人|1
896|角|1
897|俄罗斯|2
898|孤岛-暴风雪山庄模式|1
899|古堡|1
900|亨利·梅利维尔|1
901|気に入り|1
902|渴望买书|1
903|外版|3
904|X的悲剧|1
905|達許．漢密特|2
906|真保裕一|4
907|合辑|2
908|14歲|1
909|恩田陆|25
910|恩田陸|25
911|奇案俱乐部|2
912|鲍尔|1
913|警察程序|6
914|阿嘉莎·克莉丝蒂|17
915|a|2
916|friend|1
917|from|1
918|got|1
919|in|1
920|just|1
921|one|1
922|UCLA|1
923|赶紧着|1
924|东方快车谋杀案|1
925|瑞典|11
926|0.童话|1
927|未知|1
928|我有的书|1
929|想看的小说|1
930|埃德蒙·克里斯平|1
931|悬疑推理|8
932|梦魇|1
933|隐喻|1
934|冷战谍魂|1
935|John.Le.Carre|1
936|震后被盗|3
937|尼古拉特斯拉|1
938|杂志|1
939|MOOK|4
940|谜诡|3
941|资料|2
942|普及|1
943|走向经典|1
944|勞倫斯.山德斯|1
945|外国作品|1
946|關於讀書的書|1
947|小说集|8
948|翻譯作品|5
949|逢坂刚|2
950|暴風雨山莊|3
951|劳伦斯·布洛克|16
952|八百万种死法|1
953|芦边拓|3
954|紅樓夢殺人事件|1
955|本格推理小说|2
956|生垣真太郎|1
957|推理(台版)|4
958|在黑暗中等待|1
959|只有你听得到|1
960|濒死之缘|1
961|三色貓|1
962|药丸岳|1
963|少年犯罪|1
964|凡高|1
965|艺术|1
966|凡·高的遗言---赝画中隐藏的自杀真相|1
967|小林英树|1
968|白发鬼|1
969|平面狗|2
970|未购|1
971|推理大師的惡夢|1
972|嫌疑犯X的獻身|1
973|**台·D獨步文化*|2
974|新聞|1
975|詹姆斯·凯恩|1
976|女王|1
977|鲇川哲也|3
978|我妈随手帮我借来的书|1
979|法月纶太郎|4
980|法月綸太郎|4
981|着魔|1
982|偵探伽俐略|1
983|Japan|5
984|百鬼|1
985|兰道·贾瑞特|1
986|Randall_Garrett|1
987|维多利亚式|1
988|科/奇幻|1
989|约翰·托马斯·史莱德克|1
990|John.Dickson.Carr|1
991|午夜文库|125
992|Lawrence_Block|10
993|海堂尊|2
994|医学|3
995|Batista|1
996|巴提斯塔的榮光|1
997|江神二郎系列|2
998|阿嘉莎·克莉絲蒂|3
999|一个都不留|1
1000|原寮|1
1001|日文原版书|2
1002|幻想|4
1003|ZOO|3
1004|日文原版|8
1005|※乙一|4
1006|原版小说|3
1007|暗|1
1008|杜鲁门·卡波特|1
1009|卡波特|1
1010|冷血|1
1011|王安忆|1
1012|阿加莎.克里斯蒂|1
1013|连作短篇集|2
1014|马修·斯卡德|5
1015|小峰元|1
1016|泡坂妻夫|4
1017|奧杜邦的祈禱|1
1018|消失的小镇|1
1019|畢業前殺人遊戲|1
1020|性別|1
1021|黑革記事本|2
1022|石田衣良|6
1023|市川拓司|1
1024|本多孝好|1
1025|爱|2
1026|殊能將之|3
1027|日常之谜|2
1028|after|2
1029|众友推荐|1
1030|未寫感想|1
1031|曹正文|1
1032|世界侦探小说史略|1
1033|上海译文出版社|2
1034|推理侦探小说史纲|1
1035|怪人二十面相|1
1036|巨势博士|1
1037|鸽群中的猫|1
1038|日本推理小说,|3
1039|迈克尔·康纳利|6
1040|克里斯蒂|2
1041|【亓·图】当局者|4
1042|英语文学|1
1043|欧美近现代文学|1
1044|美索不达米亚|1
1045|侦探/推理|1
1046|MickeySpillane|1
1047|黑色|1
1048|二阶堂黎人|7
1049|二階堂黎人|4
1050|暗黒童話|1
1051|长篇|9
1052|台版书|8
1053|侦探推理小说|1
1054|社会派推理　证明三部曲|1
1055|悬疑￡推理|1
1056|殺人十角館|1
1057|劳伦斯·山德斯|1
1058|人物传记|5
1059|!P|1
1060|犯罪小說|1
1061|構溝正史|1
1062|夏天．煙火．我的屍體|1
1063|天帝妖狐|1
1064|日本推理新五大奇书|1
1065|教父|2
1066|马里奥·普佐|1
1067|Fish|1
1068|NR|1
1069|Story|2
1070|原版|11
1071|藤原伊織|3
1072|幽默|3
1073|陀思妥耶夫斯基|1
1074|俄国|1
1075|哲学|1
1076|纸版|1
1077|童年的书房|1
1078|小生物语|1
1079|日记|1
1080|冰与火之歌|1
1081|乔治·马丁|1
1082|史诗|1
1083|西方奇幻|1
1084|奇幻小说|1
1085|乔治.西姆农|7
1086|西姆农|4
1087|刀锋之先|1
1088|アヒルと鴨のコインロッカー|1
1089|伊坂幸太郎。|1
1090|京極夏彦|9
1091|妖怪|9
1092|京极堂|6
1093|dead|1
1094|Ellery|1
1095|is|1
1096|KIng|1
1097|Queen|1
1098|The|1
1099|马普尔小姐|14
1100|西方文学|1
1101|亲爱的克里斯蒂女王|2
1102|已藏|4
1103|約翰·麥唐諾|1
1104|白羅最後一案|1
1105|神探波罗|1
1106|夜晚的远足|1
1107|青春|8
1108|綁架遊戲|1
1109|消遣书|2
1110|GeorgesSimenon|1
1111|雫井脩介|1
1112|哈里•博斯|2
1113|布朗神父|2
1114|推理小説|1
1115|喬治·西姆農|2
1116|我的藏書|1
1117|川端康成|1
1118|B|1
1119|3.日本|1
1120|池井戶潤|1
1121|美国小说|3
1122|利奥波德探长|2
1123|爱德华·D·霍克|3
1124|世界侦探推理小说经典秀|1
1125|纪念福尔摩斯|1
1126|国外|1
1127|黄金时代|2
1128|现当代|1
1129|范伯群|1
1130|中国现代通俗文学史(插图本)|1
1131|现当代文学|1
1132|肯·弗莱特|1
1133|埃德加奖|4
1134|肯·福莱特|1
1135|松本清张奖|1
1136|爱伦坡奖|10
1137|爱伦·坡奖最佳小说|3
1138|金匕首奖|7
1139|埃德加·爱伦·坡奖最佳小说|2
1140|hard-boiled的演变|1
1141|沉默的乔|1
1142|斯宾赛系列|1
1143|罗伯特·帕克|1
1144|鲁斯·伦德尔|3
1145|改编电影|1
1146|活色生香|1
1147|标题……|1
1148|简体书|1
1149|井泽元彦|3
1150|新學|1
1151|借阅|1
1152|sisulib|1
1153|林少华|1
1154|终点站杀人|1
1155|有马赖义|1
1156|水上勉|2
1157|蜘蛛人|1
1158|风之门|1
1159|很简单的Trick|1
1160|乃南朝|3
1161|想当年|1
1162|很写实的日本青春问题社会推理小说|1
1163|笹泽左保|3
1164|丫丫的收藏|1
1165|原胜文|1
1166|約翰勒卡雷|1
1167|Sherlock_Holmes|1
1168|輕小説|1
1169|插圖黨|1
1170|2232|1
1171|詹宏志|2
1172|詹宏志。|1
1173|推理作品|4
1174|投31|1
1175|讽刺|1
1176|我孫子武丸|3
1177|殺戮之病|1
1178|我孙子武丸|3
